customer_id;full_name;registration_date;city;first_touch_channel
200001;Лебедев Динара Евгеньевич;2024-06-01;Екатеринбург;Organic
200002;Яковлев Владимир Владимирович;2023-03-07;Магнитогорск;VK Ads
200003;Сулейманов Илья Сергеевна;2023-11-23;Челябинск;Telegram
200004;Ахметов Игорь Николаевич;2023-12-23;Челябинск;Direct
200005;Баранов Сергей Николаевна;2024-07-21;Златоуст;Direct
200006;Белов Олег Николаевна;2023-08-05;Челябинск;VK Ads
200007;Садыков Артур Романович;2023-08-13;Москва;Organic
200008;Сергеев Николай Юрьевич;2023-05-21;Магнитогорск;Referral
200009;Ткаченко Дмитрий Игоревич;2023-10-08;Челябинск;VK Ads
200010;Акопян Милана Евгеньевна;2023-04-20;Челябинск;Yandex Ads
200011;Капустин Виктор Романовна;2023-10-08;Челябинск;Organic
200012;Яковлев Лилия Павловна;2023-04-06;Екатеринбург;Organic
200013;Мухаметшин Кристина Евгеньевич;2023-04-03;Тюмень;Yandex Ads
200014;Никитин Тигран Владимирович;2023-09-16;Челябинск;Yandex Ads
200015;Бойко Софья Юрьевич;2023-06-10;Оренбург;Organic
200016;Щербаков Игорь Игоревич;2023-05-14;Челябинск;Organic
200017;Савченко Егор Сергеевна;2024-02-11;Миасс;VK Ads
200018;Павлов Игорь Ивановна;2024-07-19;Челябинск;Organic
200019;Иванов Самвел Романовна;2023-03-15;Миасс;Email
200020;Степанов Евгения Михайловна;2023-05-23;Самара;Organic
200021;Захаров Лейла Николаевич;2024-05-28;Миасс;Direct
200022;Котов Самвел Алексеевич;2024-08-02;Тюмень;Yandex Ads
200023;Шин Ольга Олеговна;2024-07-18;Тюмень;Direct
200024;Титов Эдуард Владимирович;2023-08-27;Челябинск;Organic
200025;Мкртчян Ольга Николаевич;2023-11-18;Челябинск;VK Ads
200026;Григорьев Дарья Игоревич;2024-03-30;Златоуст;Direct
200027;Мкртчян Амина Сергеевич;2024-01-04;Челябинск;Organic
200028;Ибрагимов Динара Викторовна;2024-05-25;Магнитогорск;Organic
200029;Арутюнян Даниил Игоревич;2023-06-30;Казань;Organic
200030;Баранов Антон Алексеевна;2024-01-11;Копейск;Direct
200031;Григорьев Руслан Романовна;2023-04-16;Пермь;Organic
200032;Юсупов Карина Андреевич;2023-04-02;Москва;Organic
200033;Ахметжанов Георгий Игоревна;2023-05-02;Челябинск;Yandex Ads
200034;Михайлов Владимир Романович;2023-04-14;Пермь;VK Ads
200035;Чернов Лилия Николаевна;2024-08-25;Уфа;Direct
200036;Мухаметшин Никита Сергеевна;2023-06-13;Челябинск;Organic
200037;Нуржанов Павел Сергеевна;2024-05-27;Екатеринбург;VK Ads
200038;Соболев Динара Александровна;2023-08-29;Тюмень;Referral
200039;Тарасов Александр Евгеньевна;2023-07-16;Челябинск;Direct
200040;Ибрагимов Айгуль Владимировна;2023-08-06;Челябинск;Direct
200041;Кузьмин Кристина Евгеньевна;2023-02-20;Москва;VK Ads
200042;Назаров Ольга Дмитриевна;2024-06-30;Копейск;Organic
200043;Абдуллаев Игорь Антонович;2023-02-06;Златоуст;Referral
200044;Матвеев Анастасия Евгеньевич;2023-08-24;Челябинск;Organic
200045;Гусев Егор Алексеевич;2023-03-12;Магнитогорск;Organic
200046;Юсупов Наталья Ивановна;2023-06-03;Челябинск;Yandex Ads
200047;Галимов Зарина Романович;2023-08-10;Магнитогорск;Organic
200048;Нуриев Алёна Романовна;2024-08-19;Челябинск;VK Ads
200049;Тен Артур Павловна;2024-01-30;Уфа;Organic
200050;Мамедов Ирина Владимировна;2023-12-27;Челябинск;Yandex Ads
200051;Смирнов Алина Иванович;2023-07-03;Магнитогорск;Organic
200052;Беляев Оксана Павловна;2023-11-03;Тюмень;Organic
200053;Кадыров Николай Александровна;2024-05-22;Магнитогорск;Organic
200054;Фёдоров Евгения Дмитриевич;2024-08-08;Ижевск;Direct
200055;Киселёв Екатерина Сергеевич;2024-06-17;Миасс;Yandex Ads
200056;Логинов Милана Павловна;2024-05-16;Челябинск;Yandex Ads
200057;Ковалёв Артём Павлович;2024-07-21;Челябинск;VK Ads
200058;Волков Сергей Михайловна;2024-08-03;Челябинск;Email
200059;Каримов Вероника Антонович;2023-06-27;Челябинск;Telegram
200060;Титов Алина Викторовна;2024-01-20;Москва;Direct
200061;Лебедев Ирина Владимирович;2023-05-12;Челябинск;Organic
200062;Афанасьев Яна Олеговна;2023-07-05;Копейск;Organic
200063;Смирнов Динара Романович;2024-04-07;Челябинск;Organic
200064;Сергеев Георгий Романовна;2023-09-18;Златоуст;Direct
200065;Абрамян Ирина Викторович;2024-07-24;Челябинск;Yandex Ads
200066;Комаров Илья Алексеевна;2024-07-26;Копейск;Organic
200067;Медведев Тимур Андреевна;2024-01-05;Копейск;Referral
200068;Денисов Станислав Андреевич;2024-02-16;Москва;Direct
200069;Герасимов Юлия Викторовна;2023-09-05;Челябинск;Direct
200070;Тарасенко Никита Дмитриевич;2024-04-20;Москва;Direct
200071;Цой Сергей Романович;2024-01-01;Тюмень;Referral
200072;Бекетов Эдуард Михайловна;2023-09-17;Челябинск;VK Ads
200073;Григорян Иван Михайловна;2024-02-15;Миасс;Referral
200074;Гончаренко Амина Юрьевна;2024-01-25;Магнитогорск;Organic
200075;Рябов Роман Александрович;2023-01-03;Магнитогорск;Organic
200076;Мамедов Егор Павловна;2023-10-29;Екатеринбург;Organic
200077;Щербаков Виктория Ивановна;2024-03-24;Челябинск;Referral
200078;Ковалёв Дарья Андреевич;2024-02-25;Челябинск;Organic
200079;Бондаренко Кирилл Николаевна;2023-10-19;Копейск;Organic
200080;Киселёв Гузель Павлович;2023-03-31;Москва;Organic
200081;Мирзоян Маргарита Иванович;2023-11-22;Пермь;Direct
200082;Бондаренко Софья Михайловна;2024-04-20;Челябинск;Direct
200083;Гарипов Наталья Викторовна;2024-01-04;Челябинск;VK Ads
200084;Андреев Анастасия Михайловна;2023-12-13;Челябинск;Organic
200085;Кадыров Егор Алексеевич;2023-09-05;Москва;Direct
200086;Романов Виктория Николаевич;2024-05-03;Ижевск;Yandex Ads
200087;Кудрявцев Диана Антонович;2023-03-11;Миасс;Organic
200088;Афанасьев Денис Алексеевна;2023-02-14;Копейск;Telegram
200089;Соболев Ольга Олегович;2024-03-19;Уфа;Organic
200090;Морозов Гузель Владимирович;2023-12-17;Самара;Direct
200091;Омаров Илья Андреевна;2023-04-07;Копейск;Yandex Ads
200092;Ахметжанов Артём Алексеевич;2023-07-08;Москва;Direct
200093;Титов Арсен Алексеевна;2023-11-07;Курган;Organic
200094;Королёв Михаил Владимирович;2024-06-25;Челябинск;Referral
200095;Соколов Валерий Алексеевна;2024-07-02;Челябинск;Organic
200096;Тарасенко Милана Романович;2024-05-03;Екатеринбург;Organic
200097;Кадыров Эдуард Андреевна;2024-06-14;Магнитогорск;Yandex Ads
200098;Соболев Валерий Андреевна;2023-04-04;Магнитогорск;Organic
200099;Романов Кирилл Олегович;2023-05-28;Челябинск;Yandex Ads
200100;Котов Айгуль Иванович;2024-07-16;Челябинск;Telegram
200101;Белов Евгения Романович;2023-08-12;Копейск;Direct
200102;Галимов Андрей Викторович;2023-04-05;Уфа;Email
200103;Семёнов Дарья Павлович;2024-03-13;Нижневартовск;Direct
200104;Григорян Софья Владимирович;2023-03-17;Челябинск;Direct
200105;Филатов Тимур Юрьевич;2023-06-13;Челябинск;Organic
200106;Максимов Надежда Евгеньевич;2023-09-16;Магнитогорск;Organic
200107;Юн Карина Николаевна;2023-04-18;Копейск;Direct
200108;Соколов Марат Михайлович;2023-07-07;Челябинск;Organic
200109;Арутюнян Виктория Владимирович;2024-05-13;Златоуст;Organic
200110;Семёнов Артём Владимирович;2024-04-14;Самара;Direct
200111;Титов Иван Ивановна;2024-07-30;Златоуст;Telegram
200112;Попов Глеб Владимировна;2024-07-27;Челябинск;Organic
200113;Чернов Айгуль Андреевич;2023-02-13;Челябинск;Direct
200114;Афанасьев Самвел Александрович;2023-01-23;Златоуст;Organic
200115;Гасанов Милана Алексеевна;2023-05-18;Москва;Direct
200116;Садыков Алина Олеговна;2023-03-12;Копейск;Direct
200117;Тен Роман Александровна;2024-07-29;Курган;Referral
200118;Омаров Вероника Алексеевич;2024-03-17;Челябинск;Telegram
